time	V(n003)
0.000000000000000e+000	-1.817438e+000
7.200000000014822e-010	-1.817989e+000
1.440000000002964e-009	-1.818263e+000
2.160000000004447e-009	-1.818259e+000
2.880000000005929e-009	-1.817977e+000
3.600000000007411e-009	-1.817417e+000
4.320000000008893e-009	-1.816580e+000
5.040000000010374e-009	-1.815465e+000
8.999999999999406e-009	-1.807568e+000
9.395999999999325e-009	-1.806478e+000
9.092801785712232e-008	-1.553901e+000
1.724600357142453e-007	-1.309890e+000
2.539920535713683e-007	-1.074445e+000
3.355240714284913e-007	-8.475674e-001
4.170560892856143e-007	-6.292557e-001
4.985881071427373e-007	-4.195104e-001
5.801201249998600e-007	-2.183315e-001
6.126718828123600e-007	-1.398307e-001
6.452236406248600e-007	-6.251090e-002
6.777753984373600e-007	1.364579e-002
7.103271562498599e-007	8.865684e-002
7.428789140623599e-007	1.625395e-001
8.079824296873599e-007	3.069872e-001
8.730859453123598e-007	4.471216e-001
9.707412187498597e-007	6.495166e-001
1.071349616071308e-006	8.476219e-001
1.171958013392756e-006	1.037622e+000
1.272566410714204e-006	1.219517e+000
1.373174808035652e-006	1.393307e+000
1.473783205357101e-006	1.558992e+000
1.574391602678549e-006	1.716572e+000
1.674999999999997e-006	1.866046e+000
1.678087109376227e-006	1.867561e+000
1.684999999999998e-006	1.857316e+000
1.770195200888080e-006	1.591713e+000
1.855390401776162e-006	1.335483e+000
1.940585602664243e-006	1.088624e+000
2.025780803552325e-006	8.511370e-001
2.110976004440407e-006	6.230220e-001
2.196171205328488e-006	4.042788e-001
2.281366406216570e-006	1.949075e-001
2.313918164029070e-006	1.167592e-001
2.346469921841570e-006	3.978642e-002
2.379021679654070e-006	-3.602842e-002
2.411573437466570e-006	-1.107028e-001
2.444125195279070e-006	-1.842538e-001
2.509228710904069e-006	-3.280530e-001
2.574332226529069e-006	-4.675584e-001
2.671987499966569e-006	-6.690450e-001
2.766274999971345e-006	-8.542449e-001
2.860562499976121e-006	-1.032289e+000
2.954849999980896e-006	-1.203177e+000
3.049137499985671e-006	-1.366909e+000
3.143424999990447e-006	-1.523485e+000
3.237712499995223e-006	-1.672904e+000
3.331999999999998e-006	-1.815168e+000
3.334999999999998e-006	-1.816589e+000
3.342000000000000e-006	-1.806488e+000
3.423661160714289e-006	-1.553520e+000
3.505322321428578e-006	-1.309144e+000
3.586983482142868e-006	-1.073359e+000
3.668644642857157e-006	-8.461673e-001
3.750305803571447e-006	-6.275672e-001
3.831966964285736e-006	-4.175590e-001
3.913628125000026e-006	-2.161427e-001
3.946179882812526e-006	-1.376749e-001
3.978731640625026e-006	-6.038753e-002
4.011283398437526e-006	1.573722e-002
4.043835156250026e-006	9.071680e-002
4.076386914062526e-006	1.645684e-001
4.141490429687526e-006	3.089556e-001
4.206593945312526e-006	4.490312e-001
4.304249218750026e-006	6.513413e-001
4.404785044642879e-006	8.492253e-001
4.505320870535732e-006	1.039018e+000
4.605856696428585e-006	1.220720e+000
4.706392522321438e-006	1.394332e+000
4.806928348214290e-006	1.559852e+000
4.907464174107144e-006	1.717281e+000
5.007999999999997e-006	1.866620e+000
5.011087109376227e-006	1.868134e+000
5.017999999999998e-006	1.857887e+000
5.103195200888080e-006	1.592262e+000
5.188390401776163e-006	1.336010e+000
5.273585602664245e-006	1.089131e+000
5.358780803552327e-006	8.516240e-001
5.443976004440409e-006	6.234900e-001
5.529171205328491e-006	4.047286e-001
5.614366406216573e-006	1.953399e-001
5.646918164029073e-006	1.171850e-001
5.679469921841573e-006	4.020586e-002
5.712021679654073e-006	-3.561529e-002
5.744573437466573e-006	-1.102958e-001
5.777125195279073e-006	-1.838530e-001
5.842228710904073e-006	-3.276642e-001
5.907332226529073e-006	-4.671812e-001
6.004987499966573e-006	-6.686845e-001
6.099274999971348e-006	-8.538999e-001
6.193562499976123e-006	-1.031959e+000
6.287849999980898e-006	-1.202861e+000
6.382137499985673e-006	-1.366606e+000
6.476424999990448e-006	-1.523195e+000
6.570712499995223e-006	-1.672627e+000
6.664999999999998e-006	-1.814903e+000
6.667999999999998e-006	-1.816324e+000
6.675000000000000e-006	-1.806224e+000
6.756661160714289e-006	-1.553266e+000
6.838322321428579e-006	-1.308899e+000
6.919983482142868e-006	-1.073124e+000
7.001644642857158e-006	-8.459408e-001
7.083305803571447e-006	-6.273491e-001
7.164966964285736e-006	-4.173490e-001
7.246628125000026e-006	-2.159406e-001
7.279179882812526e-006	-1.374758e-001
7.311731640625026e-006	-6.019139e-002
7.344283398437526e-006	1.593041e-002
7.376835156250026e-006	9.090709e-002
7.409386914062526e-006	1.647559e-001
7.474490429687526e-006	3.091374e-001
7.539593945312526e-006	4.492076e-001
7.637249218750026e-006	6.515099e-001
7.737785044642878e-006	8.493861e-001
7.838320870535732e-006	1.039172e+000
7.938856696428584e-006	1.220867e+000
8.039392522321438e-006	1.394471e+000
8.139928348214291e-006	1.559985e+000
8.240464174107145e-006	1.717408e+000
8.340999999999997e-006	1.866741e+000
8.344087109376228e-006	1.868255e+000
8.350999999999999e-006	1.858008e+000
8.436195200888080e-006	1.592378e+000
8.521390401776162e-006	1.336122e+000
8.606585602664244e-006	1.089238e+000
8.691780803552326e-006	8.517271e-001
8.776976004440406e-006	6.235891e-001
8.862171205328488e-006	4.048239e-001
8.947366406216570e-006	1.954315e-001
8.979918164029070e-006	1.172752e-001
9.012469921841570e-006	4.029471e-002
9.045021679654070e-006	-3.552778e-002
9.077573437466570e-006	-1.102097e-001
9.110125195279070e-006	-1.837681e-001
9.175228710904070e-006	-3.275819e-001
9.240332226529070e-006	-4.671013e-001
9.337987499966570e-006	-6.686082e-001
9.432274999971344e-006	-8.538268e-001
9.526562499976121e-006	-1.031889e+000
9.620849999980896e-006	-1.202794e+000
9.715137499985672e-006	-1.366542e+000
9.809424999990447e-006	-1.523134e+000
9.903712499995223e-006	-1.672569e+000
9.997999999999998e-006	-1.814847e+000
1.000100000000000e-005	-1.816268e+000
