Freq.	V(n002)
1.00000000000000e+000	(-2.74237540119778e-003dB,-1.43969692060942e+000°)
1.02329299228075e+000	(-2.87157685282471e-003dB,-1.47321715926368e+000°)
1.04712854805090e+000	(-3.00686326169902e-003dB,-1.50751714020998e+000°)
1.07151930523761e+000	(-3.14852100585176e-003dB,-1.54261495135678e+000°)
1.09647819614318e+000	(-3.29684992162541e-003dB,-1.57852909660559e+000°)
1.12201845430196e+000	(-3.45216393423937e-003dB,-1.61527850516066e+000°)
1.14815362149688e+000	(-3.61479171775748e-003dB,-1.65288254102840e+000°)
1.17489755493953e+000	(-3.78507738573782e-003dB,-1.69136101270919e+000°)
1.20226443461741e+000	(-3.96338121401775e-003dB,-1.73073418308386e+000°)
1.23026877081238e+000	(-4.15008039710114e-003dB,-1.77102277949719e+000°)
1.25892541179417e+000	(-4.34556983966511e-003dB,-1.81224800404080e+000°)
1.28824955169313e+000	(-4.55026298482612e-003dB,-1.85443154403733e+000°)
1.31825673855641e+000	(-4.76459268081684e-003dB,-1.89759558272817e+000°)
1.34896288259165e+000	(-4.98901208783016e-003dB,-1.94176281016630e+000°)
1.38038426460288e+000	(-5.22399562686880e-003dB,-1.98695643431619e+000°)
1.41253754462275e+000	(-5.47003997250832e-003dB,-2.03320019236210e+000°)
1.44543977074593e+000	(-5.72766509154869e-003dB,-2.08051836222618e+000°)
1.47910838816821e+000	(-5.99741532964496e-003dB,-2.12893577429743e+000°)
1.51356124843621e+000	(-6.27986054809143e-003dB,-2.17847782337246e+000°)
1.54881661891248e+000	(-6.57559731301476e-003dB,-2.22917048080845e+000°)
1.58489319246111e+000	(-6.88525013931801e-003dB,-2.28104030688891e+000°)
1.62181009735893e+000	(-7.20947279185817e-003dB,-2.33411446340194e+000°)
1.65958690743756e+000	(-7.54894964641844e-003dB,-2.38842072643087e+000°)
1.69824365246174e+000	(-7.90439711310883e-003dB,-2.44398749935636e+000°)
1.73780082874937e+000	(-8.27656512504833e-003dB,-2.50084382606901e+000°)
1.77827941003892e+000	(-8.66623869514386e-003dB,-2.55901940439064e+000°)
1.81970085860998e+000	(-9.07423954404903e-003dB,-2.61854459970245e+000°)
1.86208713666287e+000	(-9.50142780241980e-003dB,-2.67945045877722e+000°)
1.90546071796325e+000	(-9.94870379072107e-003dB,-2.74176872381252e+000°)
1.94984459975804e+000	(-1.04170098800343e-002dB,-2.80553184666099e+000°)
1.99526231496888e+000	(-1.09073324373292e-002dB,-2.87077300325340e+000°)
2.04173794466953e+000	(-1.14207038589758e-002dB,-2.93752610820912e+000°)
2.08929613085404e+000	(-1.19582046962185e-002dB,-3.00582582962812e+000°)
2.13796208950223e+000	(-1.25209658766695e-002dB,-3.07570760405761e+000°)
2.18776162394955e+000	(-1.31101710258842e-002dB,-3.14720765162566e+000°)
2.23872113856834e+000	(-1.37270588933468e-002dB,-3.22036299133292e+000°)
2.29086765276777e+000	(-1.43729258872746e-002dB,-3.29521145649284e+000°)
2.34422881531992e+000	(-1.50491287228681e-002dB,-3.37179171030929e+000°)
2.39883291901949e+000	(-1.57570871887707e-002dB,-3.45014326157953e+000°)
