time	V(n002)
0.000000000000000e+000	0.000000e+000
9.142857249701465e-007	6.841092e-005
1.828571449940293e-006	2.618776e-004
2.742857174910440e-006	5.803999e-004
3.657142899880586e-006	1.023978e-003
4.571428624850732e-006	1.592612e-003
5.485714349820879e-006	2.286301e-003
6.400000074791024e-006	3.105046e-003
1.280000014958205e-005	1.134604e-002
2.171271554682697e-005	2.940116e-002
3.147834054682697e-005	5.722824e-002
4.124396554682697e-005	9.274768e-002
5.100959054682697e-005	1.348235e-001
6.077521554682698e-005	1.820824e-001
7.054084054682698e-005	2.331422e-001
8.030646554682697e-005	2.866260e-001
9.007209054682697e-005	3.411772e-001
9.983771554682696e-005	3.954744e-001
1.096033405468270e-004	4.482469e-001
1.193689655468270e-004	4.982889e-001
1.291345905468270e-004	5.444744e-001
1.389002155468270e-004	5.857699e-001
1.486658405468270e-004	6.212470e-001
1.584314655468270e-004	6.500936e-001
1.681970905468270e-004	6.716231e-001
1.779627155468270e-004	6.852825e-001
1.877283405468270e-004	6.906586e-001
1.974939655468270e-004	6.874821e-001
2.072595905468270e-004	6.756298e-001
2.170252155468270e-004	6.551251e-001
2.267908405468270e-004	6.261357e-001
2.365564655468270e-004	5.889703e-001
2.463220905468270e-004	5.440722e-001
2.560877155468270e-004	4.920119e-001
2.658533405468270e-004	4.334774e-001
2.756189655468271e-004	3.692628e-001
2.853845905468271e-004	3.002557e-001
2.951502155468271e-004	2.274233e-001
3.049158405468271e-004	1.517967e-001
3.146814655468271e-004	7.445498e-002
3.244470905468271e-004	-3.491428e-003
3.342127155468271e-004	-8.091809e-002
3.439783405468271e-004	-1.567039e-001
3.537439655468271e-004	-2.297486e-001
3.635095905468271e-004	-2.991478e-001
3.720932197320503e-004	-3.561411e-001
3.814191975176272e-004	-4.128716e-001
3.911848225176272e-004	-4.660201e-001
4.009504475176272e-004	-5.119885e-001
4.107160725176272e-004	-5.500393e-001
4.204816975176272e-004	-5.796202e-001
4.302473225176272e-004	-6.003048e-001
4.400129475176272e-004	-6.117985e-001
4.497785725176272e-004	-6.139435e-001
4.595441975176272e-004	-6.067210e-001
4.693098225176273e-004	-5.902523e-001
4.790754475176273e-004	-5.647963e-001
4.888410725176273e-004	-5.307460e-001
4.986066975176273e-004	-4.886227e-001
5.083723225176273e-004	-4.390685e-001
5.181379475176273e-004	-3.828363e-001
5.279035725176273e-004	-3.207787e-001
5.376691975176273e-004	-2.538355e-001
5.474348225176273e-004	-1.830191e-001
5.572004475176273e-004	-1.093999e-001
5.669660725176273e-004	-3.408986e-002
5.767316975176274e-004	4.177415e-002
5.864973225176274e-004	1.170472e-001
5.962629475176274e-004	1.905936e-001
6.060285725176274e-004	2.613040e-001
6.157941975176274e-004	3.283720e-001
6.236459414780276e-004	3.787723e-001
6.319966804851648e-004	4.279244e-001
6.417623054851648e-004	4.794368e-001
6.515279304851648e-004	5.239778e-001
6.612935554851648e-004	5.606561e-001
6.710591804851648e-004	5.889183e-001
6.808248054851648e-004	6.083378e-001
6.905904304851648e-004	6.186210e-001
7.003560554851648e-004	6.196120e-001
7.101216804851648e-004	6.112947e-001
7.198873054851648e-004	5.937933e-001
7.296529304851648e-004	5.673699e-001
7.394185554851649e-004	5.324212e-001
7.491841804851649e-004	4.894720e-001
7.589498054851649e-004	4.391676e-001
7.687154304851649e-004	3.822640e-001
7.784810554851649e-004	3.196165e-001
7.882466804851649e-004	2.521668e-001
7.980123054851649e-004	1.809289e-001
8.077779304851649e-004	1.069740e-001
8.175435554851649e-004	3.141396e-002
8.273091804851649e-004	-4.461510e-002
8.370748054851649e-004	-1.199699e-001
8.468404304851650e-004	-1.935175e-001
8.566060554851650e-004	-2.641517e-001
8.663716804851650e-004	-3.310245e-001
8.745862462703230e-004	-3.835667e-001
8.823462142345184e-004	-4.290442e-001
8.921118392345184e-004	-4.803046e-001
9.018774642345184e-004	-5.246547e-001
9.116430892345184e-004	-5.611128e-001
9.214087142345184e-004	-5.891305e-001
9.311743392345184e-004	-6.082866e-001
9.409399642345184e-004	-6.182929e-001
9.507055892345184e-004	-6.189991e-001
9.604712142345184e-004	-6.103944e-001
9.702368392345184e-004	-5.926085e-001
9.800024642345185e-004	-5.659087e-001
9.897680892345185e-004	-5.306969e-001
9.995337142345185e-004	-4.875025e-001
1.009299339234519e-003	-4.369754e-001
1.019064964234519e-003	-3.798755e-001
1.028830589234519e-003	-3.170617e-001
1.038596214234519e-003	-2.494788e-001
1.048361839234519e-003	-1.781434e-001
1.058127464234519e-003	-1.041283e-001
1.067893089234519e-003	-2.854682e-002
1.077658714234519e-003	4.746413e-002
1.087424339234519e-003	1.227613e-001
1.097189964234519e-003	1.962121e-001
1.106955589234519e-003	2.667119e-001
1.116721214234519e-003	3.333853e-001
1.125155368523603e-003	3.871252e-001
1.132752989384053e-003	4.314308e-001
1.142518614384053e-003	4.823701e-001
1.152284239384053e-003	5.263976e-001
1.162049864384053e-003	5.625084e-001
1.171815489384053e-003	5.901592e-001
1.181581114384053e-003	6.089342e-001
1.191346739384053e-003	6.185508e-001
1.201112364384053e-003	6.188644e-001
1.210877989384053e-003	6.098702e-001
1.220643614384053e-003	5.917034e-001
1.230409239384053e-003	5.646373e-001
1.240174864384053e-003	5.290788e-001
1.249940489384053e-003	4.855629e-001
1.259706114384053e-003	4.347439e-001
1.269471739384053e-003	3.773862e-001
1.279237364384053e-003	3.143526e-001
1.289002989384053e-003	2.465910e-001
1.298768614384053e-003	1.751207e-001
1.308534239384053e-003	1.010165e-001
1.318299864384053e-003	2.539320e-002
1.328065489384053e-003	-5.061192e-002
1.337831114384053e-003	-1.258557e-001
1.347596739384053e-003	-1.992063e-001
1.357362364384053e-003	-2.695605e-001
1.367127989384053e-003	-3.360114e-001
1.375817670109447e-003	-3.910531e-001
1.383831418350977e-003	-4.373537e-001
1.393597043350977e-003	-4.875913e-001
1.403362668350977e-003	-5.307759e-001
1.413128293350977e-003	-5.659778e-001
1.422893918350978e-003	-5.926673e-001
1.432659543350978e-003	-6.104430e-001
1.442425168350978e-003	-6.190375e-001
1.452190793350978e-003	-6.183214e-001
1.461956418350978e-003	-6.083056e-001
1.471722043350978e-003	-5.891407e-001
1.481487668350978e-003	-5.611148e-001
1.491253293350978e-003	-5.246494e-001
1.501018918350978e-003	-4.802931e-001
1.510784543350978e-003	-4.287130e-001
1.520550168350978e-003	-3.706847e-001
1.530315793350978e-003	-3.070813e-001
1.540081418350978e-003	-2.388591e-001
1.549847043350978e-003	-1.670445e-001
1.559612668350978e-003	-9.271751e-002
1.569378293350978e-003	-1.699607e-002
1.579143918350978e-003	5.898090e-002
1.588909543350978e-003	1.340706e-001
1.598675168350978e-003	2.071438e-001
