Freq.	V(n002)
1.00000000000000e+000	(-1.71452555384779e-006dB,-3.59999952625910e-002°)
1.02329299228075e+000	(-1.79532863804276e-006dB,-3.68385426458820e-002°)
1.04712854805090e+000	(-1.87993985008525e-006dB,-3.76966222905592e-002°)
1.07151930523761e+000	(-1.96853866496932e-006dB,-3.85746891602677e-002°)
1.09647819614318e+000	(-2.06131301196261e-006dB,-3.94732088160336e-002°)
1.12201845430196e+000	(-2.15845967866092e-006dB,-4.03926576631030e-002°)
1.14815362149688e+000	(-2.26018472179331e-006dB,-4.13335232035296e-002°)
1.17489755493953e+000	(-2.36670391756469e-006dB,-4.22963042946460e-002°)
1.20226443461741e+000	(-2.47824320524833e-006dB,-4.32815114135544e-002°)
1.23026877081238e+000	(-2.59503917417328e-006dB,-4.42896669277784e-002°)
1.25892541179417e+000	(-2.71733956421255e-006dB,-4.53213053722177e-002°)
1.28824955169313e+000	(-2.84540379037975e-006dB,-4.63769737325536e-002°)
1.31825673855641e+000	(-2.97950349442705e-006dB,-4.74572317352555e-002°)
1.34896288259165e+000	(-3.11992311862300e-006dB,-4.85626521443417e-002°)
1.38038426460288e+000	(-3.26696050749611e-006dB,-4.96938210650513e-002°)
1.41253754462275e+000	(-3.42092755200914e-006dB,-5.08513382545897e-002°)
1.44543977074593e+000	(-3.58215083469809e-006dB,-5.20358174401106e-002°)
1.47910838816821e+000	(-3.75097233074251e-006dB,-5.32478866441048e-002°)
1.51356124843621e+000	(-3.92775013025150e-006dB,-5.44881885173658e-002°)
1.54881661891248e+000	(-4.11285920298048e-006dB,-5.57573806797118e-002°)
1.58489319246111e+000	(-4.30669218908536e-006dB,-5.70561360686419e-002°)
1.62181009735893e+000	(-4.50966023327199e-006dB,-5.83851432961128e-002°)
1.65958690743756e+000	(-4.72219385751927e-006dB,-5.97451070136241e-002°)
1.69824365246174e+000	(-4.94474386948305e-006dB,-6.11367482858073e-002°)
1.73780082874937e+000	(-5.17778233068905e-006dB,-6.25608049727136e-002°)
1.77827941003892e+000	(-5.42180354112012e-006dB,-6.40180321210063e-002°)
1.81970085860998e+000	(-5.67732510384354e-006dB,-6.55092023642630e-002°)
1.86208713666287e+000	(-5.94488900892587e-006dB,-6.70351063325996e-002°)
1.90546071796325e+000	(-6.22506279545923e-006dB,-6.85965530718347e-002°)
1.94984459975804e+000	(-6.51844074637602e-006dB,-7.01943704724149e-002°)
1.99526231496888e+000	(-6.82564515366064e-006dB,-7.18294057083290e-002°)
